Month,Avg_LaeqD,Avg_LaeqN
01,61.612903225806434,50.38709677419356
02,68.14642857142857,61.12142857142857
03,68.57741935483871,59.506451612903234
04,43.31666666666667,34.94666666666667
05,69.57741935483871,63.358064516129026
06,69.20666666666668,62.05333333333333
07,69.33548387096775,62.4741935483871
08,69.71935483870966,62.89354838709678
09,69.82,62.72333333333334
10,69.82903225806452,62.55806451612903
11,67.36666666666666,58.44666666666667
12,68.63548387096773,60.93870967741935
